rank,bgg_url,game_id,name,min_players,max_players,gameplay_time,min_time,max_time,release_year,num_votes,image_url,age,mechanic,sales_last_month_thousands,category,designer,weight
719,https://boardgamegeek.com/boardgame/16992/tsuro,16992,Tsuro,2,8,15,15,15,2004,15419,https://cf.geekdo-images.com/images/pic875761.jpg,8,"Hand Management, Player Elimination, Route/Network Building, Tile Placement",6.68977,"Abstract Strategy, Fantasy",Tom McMurchie,1.2601
772,https://boardgamegeek.com/boardgame/63268/spot-it,63268,Spot it!,2,8,15,15,15,2009,6117,https://cf.geekdo-images.com/images/pic1203476.jpg,7,Pattern Recognition,7.417839,"Card Game, Children's Game, Educational, Party Game, Real-time, Sports","Denis Blanchot, Guillaume Gille-Naves, Igor Polouchine",1.0368
788,https://boardgamegeek.com/boardgame/41916/magic-labyrinth,41916,The Magic Labyrinth,2,4,15,15,15,2009,2897,https://cf.geekdo-images.com/images/pic877039.jpg,6,"Dice Rolling, Grid Movement, Memory, Roll / Spin and Move, Route/Network Building",8.284008,"Children's Game, Fantasy, Maze, Memory",Dirk Baumann,1.2739
794,https://boardgamegeek.com/boardgame/85256/timeline-inventions,85256,Timeline: Inventions,2,8,15,15,15,2010,5182,https://cf.geekdo-images.com/images/pic1724657.jpg,8,none,7.419148,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.1199
808,https://boardgamegeek.com/boardgame/148943/coup-rebellion-g54,148943,Coup: Rebellion G54,3,6,15,15,15,2014,1472,https://cf.geekdo-images.com/images/pic2809076.jpg,14,"Player Elimination, Take That, Variable Player Powers",7.21037,"Bluffing, Card Game, Deduction, Negotiation, Political",Rikki Tahta,1.963
857,https://boardgamegeek.com/boardgame/71836/onirim,71836,Onirim,1,2,15,15,15,2010,4003,https://cf.geekdo-images.com/images/pic730580.jpg,8,"Co-operative Play, Hand Management, Set Collection",7.418587,"Card Game, Exploration, Fantasy, Maze",Shadi Torbey,1.6517
860,https://boardgamegeek.com/boardgame/113401/timeline-historical-events,113401,Timeline: Historical Events,2,8,15,15,15,2011,2848,https://cf.geekdo-images.com/images/pic1724656.jpg,8,none,6.83656,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.1275
894,https://boardgamegeek.com/boardgame/131325/timeline-diversity,131325,Timeline: Diversity,2,8,15,15,15,2012,2439,https://cf.geekdo-images.com/images/pic1724658.jpg,8,none,8.226732,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.0833
900,https://boardgamegeek.com/boardgame/149155/dead-mans-draw,149155,Dead Man's Draw,2,4,15,10,15,2015,2482,https://cf.geekdo-images.com/images/pic2923119.jpg,13,Press Your Luck,7.557275,"Card Game, Pirates",none,1.3509
928,https://boardgamegeek.com/boardgame/624/quoridor,624,Quoridor,2,4,15,15,15,1997,4332,https://cf.geekdo-images.com/images/pic3488232.jpg,8,Grid Movement,6.69275,"Abstract Strategy, Maze",Mirko Marchesi,1.9235
965,https://boardgamegeek.com/boardgame/99975/timeline-discoveries,99975,Timeline: Discoveries,2,8,15,15,15,2011,2338,https://cf.geekdo-images.com/images/pic1724655.jpg,8,none,7.481859,"Card Game, Educational, Trivia",Fr_d_ric Henry,1.2527
